wavelength_nm,intensity
386.4016736,71.42857143
399.58159,114.2857143
407.7405858,157.1428571
411.5062762,200
416.5271967,242.8571429
420.292887,285.7142857
424.0585774,328.5714286
426.5690377,371.4285714
430.334728,414.2857143
434.7280335,500
440.376569,585.7142857
444.7698745,628.5714286
450.41841,800
454.8117155,971.4285714
459.2050209,1142.857143
464.2259414,1271.428571
467.9916318,1357.142857
471.7573222,1528.571429
471.7573222,1528.571429
476.1506276,1742.857143
478.6610879,1957.142857
481.1715481,2171.428571
482.4267782,2300
483.6820084,2428.571429
485.5648536,2642.857143
486.8200837,2814.285714
489.3305439,3028.571429
491.8410042,3242.857143
494.3514644,3457.142857
497.4895397,3628.571429
500.6276151,3757.142857
503.1380753,3842.857143
505.6485356,3928.571429
507.5313808,4057.142857
509.4142259,4185.714286
511.2970711,4271.428571
513.1799163,4442.857143
516.9456067,4742.857143
515.6903766,4614.285714
518.8284519,4914.285714
521.9665272,5171.428571
523.2217573,5342.857143
525.7322176,5557.142857
528.8702929,5771.428571
533.8912134,5900
539.539749,5942.857143
537.0292887,5942.857143
531.3807531,5857.142857
542.0502092,5942.857143
545.1882845,5985.714286
548.3263598,6028.571429
550.209205,6071.428571
552.0920502,6157.142857
554.6025105,6242.857143
555.8577406,6371.428571
558.3682008,6500
560.251046,6671.428571
562.1338912,6842.857143
564.6443515,7057.142857
565.8995816,7228.571429
568.4100418,7400
570.292887,7528.571429
572.8033473,7657.142857
575.3138075,7742.857143
577.8242678,7742.857143
580.9623431,7700
582.8451883,7571.428571
584.7280335,7528.571429
587.2384937,7485.714286
589.1213389,7357.142857
591.6317992,7271.428571
591.6317992,7271.428571
594.1422594,7271.428571
596.0251046,7228.571429
597.2803347,7228.571429
599.1631799,7228.571429
602.3012552,7185.714286
606.6945607,7228.571429
611.0878661,7314.285714
614.2259414,7357.142857
619.874477,7357.142857
622.3849372,7357.142857
624.8953975,7314.285714
628.6610879,7185.714286
632.4267782,6928.571429
635.5648536,6714.285714
638.7029289,6585.714286
638.7029289,6585.714286
636.8200837,6671.428571
640.5857741,6457.142857
643.0962343,6414.285714
644.3514644,6285.714286
646.2343096,6242.857143
648.7447699,6114.285714
651.2552301,6028.571429
653.7656904,5985.714286
655.6485356,5900
658.7866109,5814.285714
661.2970711,5728.571429
664.4351464,5685.714286
667.5732218,5600
669.4560669,5557.142857
672.5941423,5471.428571
675.7322176,5385.714286
678.2426778,5300
680.7531381,5214.285714
683.8912134,5000
687.6569038,4871.428571
689.539749,4700
695.1882845,4357.142857
692.6778243,4528.571429
698.3263598,4185.714286
701.4644351,4057.142857
704.6025105,3842.857143
705.8577406,3757.142857
708.9958159,3585.714286
712.7615063,3371.428571
716.5271967,3114.285714
723.4309623,2685.714286
720.9205021,2857.142857
726.5690377,2471.428571
730.334728,2257.142857
734.7280335,2000
741.6317992,1785.714286
751.0460251,1614.285714
757.9497908,1485.714286
766.7364017,1357.142857
773.6401674,1228.571429
779.2887029,1185.714286
784.3096234,928.5714286
789.3305439,628.5714286
794.3514644,414.2857143
800,157.1428571
